id,ticket_id,status,category,subject,descripton,created_date,resolved_date,assigned_to,created_at
57,TCK-1057,resolved,other,Issue 57 subject,Description of issue 57,11/1/2023,11/10/2023,Evan,11/28/2025 8:26
58,TCK-1058,in_progress,hardware,Issue 58 subject,Description of issue 58,9/23/2024,,Dana,11/28/2025 8:26
59,TCK-1059,closed,other,Issue 59 subject,Description of issue 59,1/15/2023,1/20/2023,Evan,11/28/2025 8:26
60,TCK-1060,open,network,Issue 60 subject,Description of issue 60,12/1/2024,,Charlie,11/28/2025 8:26
61,TCK-1061,closed,other,Issue 61 subject,Description of issue 61,12/3/2023,12/3/2023,Alice,11/28/2025 8:26
62,TCK-1062,in_progress,network,Issue 62 subject,Description of issue 62,7/16/2023,,Charlie,11/28/2025 8:26
63,TCK-1063,closed,software,Issue 63 subject,Description of issue 63,12/21/2023,12/28/2023,Evan,11/28/2025 8:26
64,TCK-1064,resolved,software,Issue 64 subject,Description of issue 64,1/27/2023,1/31/2023,Alice,11/28/2025 8:26
65,TCK-1065,closed,access,Issue 65 subject,Description of issue 65,10/13/2024,10/19/2024,Charlie,11/28/2025 8:26
66,TCK-1066,resolved,software,Issue 66 subject,Description of issue 66,4/21/2024,4/30/2024,Dana,11/28/2025 8:26
67,TCK-1067,resolved,network,Issue 67 subject,Description of issue 67,10/31/2024,11/2/2024,Alice,11/28/2025 8:26
68,TCK-1068,open,hardware,Issue 68 subject,Description of issue 68,12/23/2023,,Charlie,11/28/2025 8:26
69,TCK-1069,resolved,access,Issue 69 subject,Description of issue 69,5/13/2023,5/13/2023,Dana,11/28/2025 8:26
70,TCK-1070,resolved,network,Issue 70 subject,Description of issue 70,9/9/2023,9/11/2023,Evan,11/28/2025 8:26
71,TCK-1071,resolved,access,Issue 71 subject,Description of issue 71,1/14/2024,1/17/2024,Bob,11/28/2025 8:26
72,TCK-1072,resolved,hardware,Issue 72 subject,Description of issue 72,7/20/2024,7/28/2024,Bob,11/28/2025 8:26
73,TCK-1073,closed,other,Issue 73 subject,Description of issue 73,11/13/2023,11/13/2023,Fiona,11/28/2025 8:26
74,TCK-1074,resolved,software,Issue 74 subject,Description of issue 74,6/9/2024,6/19/2024,Bob,11/28/2025 8:26
75,TCK-1075,resolved,other,Issue 75 subject,Description of issue 75,10/7/2024,10/17/2024,Bob,11/28/2025 8:26
76,TCK-1076,resolved,software,Issue 76 subject,Description of issue 76,7/24/2023,7/29/2023,Bob,11/28/2025 8:26
77,TCK-1077,resolved,hardware,Issue 77 subject,Description of issue 77,4/30/2023,5/6/2023,Alice,11/28/2025 8:26
78,TCK-1078,resolved,other,Issue 78 subject,Description of issue 78,7/19/2023,7/28/2023,Charlie,11/28/2025 8:26
79,TCK-1079,in_progress,network,Issue 79 subject,Description of issue 79,11/16/2024,,Fiona,11/28/2025 8:26
80,TCK-1080,resolved,software,Issue 80 subject,Description of issue 80,9/10/2024,9/11/2024,Evan,11/28/2025 8:26
81,TCK-1081,resolved,hardware,Issue 81 subject,Description of issue 81,9/6/2024,9/6/2024,Charlie,11/28/2025 8:26
82,TCK-1082,closed,other,Issue 82 subject,Description of issue 82,1/29/2023,2/6/2023,Dana,11/28/2025 8:26
83,TCK-1083,resolved,access,Issue 83 subject,Description of issue 83,2/21/2024,2/25/2024,Fiona,11/28/2025 8:26
84,TCK-1084,open,software,Issue 84 subject,Description of issue 84,1/3/2024,,Alice,11/28/2025 8:26
85,TCK-1085,resolved,network,Issue 85 subject,Description of issue 85,6/16/2024,6/19/2024,Bob,11/28/2025 8:26
86,TCK-1086,resolved,other,Issue 86 subject,Description of issue 86,1/8/2023,1/10/2023,Fiona,11/28/2025 8:26
87,TCK-1087,closed,hardware,Issue 87 subject,Description of issue 87,7/10/2024,7/19/2024,Evan,11/28/2025 8:26
88,TCK-1088,closed,other,Issue 88 subject,Description of issue 88,11/26/2024,12/6/2024,Fiona,11/28/2025 8:26
89,TCK-1089,resolved,hardware,Issue 89 subject,Description of issue 89,7/18/2024,7/23/2024,Charlie,11/28/2025 8:26
90,TCK-1090,closed,network,Issue 90 subject,Description of issue 90,9/17/2023,9/27/2023,Bob,11/28/2025 8:26
91,TCK-1091,closed,hardware,Issue 91 subject,Description of issue 91,3/25/2023,3/28/2023,Dana,11/28/2025 8:26
92,TCK-1092,open,hardware,Issue 92 subject,Description of issue 92,7/1/2024,,Bob,11/28/2025 8:26
93,TCK-1093,in_progress,network,Issue 93 subject,Description of issue 93,6/19/2024,,Charlie,11/28/2025 8:26
94,TCK-1094,closed,network,Issue 94 subject,Description of issue 94,10/5/2023,10/6/2023,Charlie,11/28/2025 8:26
95,TCK-1095,resolved,network,Issue 95 subject,Description of issue 95,10/15/2024,10/20/2024,Alice,11/28/2025 8:26
96,TCK-1096,resolved,access,Issue 96 subject,Description of issue 96,4/8/2023,4/8/2023,Bob,11/28/2025 8:26
97,TCK-1097,closed,access,Issue 97 subject,Description of issue 97,4/10/2024,4/13/2024,Evan,11/28/2025 8:26
98,TCK-1098,resolved,hardware,Issue 98 subject,Description of issue 98,5/27/2023,5/27/2023,Evan,11/28/2025 8:26
99,TCK-1099,closed,hardware,Issue 99 subject,Description of issue 99,9/14/2023,9/23/2023,Charlie,11/28/2025 8:26
100,TCK-1100,resolved,other,Issue 100 subject,Description of issue 100,6/28/2024,7/3/2024,Dana,11/28/2025 8:26
101,TCK-1101,closed,other,Issue 101 subject,Description of issue 101,5/23/2024,6/1/2024,Dana,11/28/2025 8:26
102,TCK-1102,closed,software,Issue 102 subject,Description of issue 102,2/7/2024,2/17/2024,Fiona,11/28/2025 8:26
103,TCK-1103,closed,hardware,Issue 103 subject,Description of issue 103,5/12/2023,5/20/2023,Dana,11/28/2025 8:26
104,TCK-1104,resolved,other,Issue 104 subject,Description of issue 104,11/22/2024,11/28/2024,Bob,11/28/2025 8:26
105,TCK-1105,in_progress,access,Issue 105 subject,Description of issue 105,5/5/2023,,Dana,11/28/2025 8:26
106,TCK-1106,closed,network,Issue 106 subject,Description of issue 106,6/17/2024,6/20/2024,Dana,11/28/2025 8:26
107,TCK-1107,resolved,access,Issue 107 subject,Description of issue 107,4/26/2024,4/28/2024,Bob,11/28/2025 8:26
108,TCK-1108,closed,hardware,Issue 108 subject,Description of issue 108,4/29/2024,5/3/2024,Charlie,11/28/2025 8:26
109,TCK-1109,open,software,Issue 109 subject,Description of issue 109,1/6/2024,,Charlie,11/28/2025 8:26
110,TCK-1110,resolved,hardware,Issue 110 subject,Description of issue 110,1/27/2024,1/29/2024,Bob,11/28/2025 8:26
111,TCK-1111,resolved,access,Issue 111 subject,Description of issue 111,3/11/2023,3/15/2023,Dana,11/28/2025 8:26
112,TCK-1112,resolved,other,Issue 112 subject,Description of issue 112,4/30/2023,5/9/2023,Charlie,11/28/2025 8:26
113,TCK-1113,in_progress,network,Issue 113 subject,Description of issue 113,2/27/2023,,Fiona,11/28/2025 8:26
114,TCK-1114,resolved,software,Issue 114 subject,Description of issue 114,9/16/2024,9/24/2024,Evan,11/28/2025 8:26
115,TCK-1115,closed,software,Issue 115 subject,Description of issue 115,10/5/2024,10/7/2024,Evan,11/28/2025 8:26
116,TCK-1116,closed,hardware,Issue 116 subject,Description of issue 116,1/15/2024,1/22/2024,Alice,11/28/2025 8:26
117,TCK-1117,resolved,network,Issue 117 subject,Description of issue 117,11/18/2023,11/26/2023,Charlie,11/28/2025 8:26
118,TCK-1118,resolved,network,Issue 118 subject,Description of issue 118,1/30/2024,2/9/2024,Dana,11/28/2025 8:26
119,TCK-1119,in_progress,other,Issue 119 subject,Description of issue 119,5/19/2023,,Dana,11/28/2025 8:26
120,TCK-1120,closed,access,Issue 120 subject,Description of issue 120,9/15/2024,9/15/2024,Evan,11/28/2025 8:26
121,TCK-1121,closed,access,Issue 121 subject,Description of issue 121,3/25/2023,3/27/2023,Alice,11/28/2025 8:26
122,TCK-1122,resolved,software,Issue 122 subject,Description of issue 122,1/24/2023,1/24/2023,Alice,11/28/2025 8:26
123,TCK-1123,resolved,network,Issue 123 subject,Description of issue 123,2/9/2024,2/15/2024,Evan,11/28/2025 8:26
124,TCK-1124,closed,network,Issue 124 subject,Description of issue 124,6/7/2023,6/7/2023,Evan,11/28/2025 8:26
125,TCK-1125,closed,network,Issue 125 subject,Description of issue 125,3/10/2024,3/17/2024,Charlie,11/28/2025 8:26
126,TCK-1126,resolved,other,Issue 126 subject,Description of issue 126,5/23/2023,5/26/2023,Evan,11/28/2025 8:26
127,TCK-1127,closed,other,Issue 127 subject,Description of issue 127,5/3/2024,5/9/2024,Fiona,11/28/2025 8:26
128,TCK-1128,resolved,other,Issue 128 subject,Description of issue 128,6/21/2023,6/25/2023,Alice,11/28/2025 8:26
129,TCK-1129,closed,network,Issue 129 subject,Description of issue 129,2/7/2023,2/12/2023,Bob,11/28/2025 8:26
130,TCK-1130,in_progress,access,Issue 130 subject,Description of issue 130,6/19/2023,,Fiona,11/28/2025 8:26
131,TCK-1131,open,network,Issue 131 subject,Description of issue 131,10/31/2024,,Bob,11/28/2025 8:26
132,TCK-1132,closed,network,Issue 132 subject,Description of issue 132,5/18/2023,5/18/2023,Evan,11/28/2025 8:26
133,TCK-1133,open,hardware,Issue 133 subject,Description of issue 133,11/6/2024,,Dana,11/28/2025 8:26
134,TCK-1134,open,software,Issue 134 subject,Description of issue 134,5/31/2024,,Fiona,11/28/2025 8:26
135,TCK-1135,closed,hardware,Issue 135 subject,Description of issue 135,7/27/2024,8/4/2024,Charlie,11/28/2025 8:26
136,TCK-1136,resolved,other,Issue 136 subject,Description of issue 136,1/2/2024,1/12/2024,Alice,11/28/2025 8:26
137,TCK-1137,open,access,Issue 137 subject,Description of issue 137,4/3/2023,,Charlie,11/28/2025 8:26
138,TCK-1138,in_progress,hardware,Issue 138 subject,Description of issue 138,11/20/2024,,Fiona,11/28/2025 8:26
139,TCK-1139,closed,access,Issue 139 subject,Description of issue 139,7/13/2024,7/18/2024,Charlie,11/28/2025 8:26
140,TCK-1140,in_progress,other,Issue 140 subject,Description of issue 140,2/10/2024,,Dana,11/28/2025 8:26
141,TCK-1141,in_progress,other,Issue 141 subject,Description of issue 141,2/16/2023,,Alice,11/28/2025 8:26
142,TCK-1142,in_progress,access,Issue 142 subject,Description of issue 142,10/18/2024,,Evan,11/28/2025 8:26
143,TCK-1143,resolved,access,Issue 143 subject,Description of issue 143,3/28/2023,3/29/2023,Alice,11/28/2025 8:26
144,TCK-1144,closed,access,Issue 144 subject,Description of issue 144,4/16/2024,4/17/2024,Fiona,11/28/2025 8:26
145,TCK-1145,in_progress,access,Issue 145 subject,Description of issue 145,5/6/2024,,Dana,11/28/2025 8:26
146,TCK-1146,closed,network,Issue 146 subject,Description of issue 146,5/12/2023,5/12/2023,Evan,11/28/2025 8:26
147,TCK-1147,closed,other,Issue 147 subject,Description of issue 147,2/24/2023,3/6/2023,Evan,11/28/2025 8:26
148,TCK-1148,closed,access,Issue 148 subject,Description of issue 148,11/24/2023,11/26/2023,Fiona,11/28/2025 8:26
149,TCK-1149,closed,network,Issue 149 subject,Description of issue 149,8/30/2023,9/2/2023,Bob,11/28/2025 8:26
150,TCK-1150,resolved,other,Issue 150 subject,Description of issue 150,2/1/2024,2/2/2024,Fiona,11/28/2025 8:26
151,TCK-1151,open,software,Issue 151 subject,Description of issue 151,2/17/2024,,Dana,11/28/2025 8:26
152,TCK-1152,in_progress,hardware,Issue 152 subject,Description of issue 152,12/10/2023,,Evan,11/28/2025 8:26
153,TCK-1153,closed,network,Issue 153 subject,Description of issue 153,10/7/2024,10/17/2024,Bob,11/28/2025 8:26
154,TCK-1154,resolved,access,Issue 154 subject,Description of issue 154,1/6/2023,1/6/2023,Evan,11/28/2025 8:26
155,TCK-1155,resolved,hardware,Issue 155 subject,Description of issue 155,1/30/2024,2/8/2024,Evan,11/28/2025 8:26
156,TCK-1156,closed,other,Issue 156 subject,Description of issue 156,12/25/2023,12/31/2023,Bob,11/28/2025 8:26
157,TCK-1157,closed,network,Issue 157 subject,Description of issue 157,8/23/2024,8/24/2024,Bob,11/28/2025 8:26
158,TCK-1158,resolved,access,Issue 158 subject,Description of issue 158,6/9/2024,6/11/2024,Fiona,11/28/2025 8:26
159,TCK-1159,closed,other,Issue 159 subject,Description of issue 159,4/2/2024,4/7/2024,Charlie,11/28/2025 8:26
160,TCK-1160,resolved,other,Issue 160 subject,Description of issue 160,6/28/2023,6/28/2023,Evan,11/28/2025 8:26
161,TCK-1161,closed,access,Issue 161 subject,Description of issue 161,1/8/2024,1/11/2024,Alice,11/28/2025 8:26
162,TCK-1162,in_progress,network,Issue 162 subject,Description of issue 162,4/18/2024,,Dana,11/28/2025 8:26
163,TCK-1163,in_progress,hardware,Issue 163 subject,Description of issue 163,1/20/2023,,Charlie,11/28/2025 8:26
164,TCK-1164,open,software,Issue 164 subject,Description of issue 164,8/5/2024,,Evan,11/28/2025 8:26
165,TCK-1165,resolved,hardware,Issue 165 subject,Description of issue 165,3/20/2023,3/27/2023,Dana,11/28/2025 8:26
166,TCK-1166,closed,hardware,Issue 166 subject,Description of issue 166,2/27/2024,2/28/2024,Dana,11/28/2025 8:26
167,TCK-1167,closed,network,Issue 167 subject,Description of issue 167,11/13/2024,11/16/2024,Bob,11/28/2025 8:26
168,TCK-1168,resolved,other,Issue 168 subject,Description of issue 168,3/3/2023,3/13/2023,Charlie,11/28/2025 8:26
169,TCK-1169,resolved,hardware,Issue 169 subject,Description of issue 169,3/29/2024,3/29/2024,Charlie,11/28/2025 8:26
170,TCK-1170,closed,network,Issue 170 subject,Description of issue 170,1/10/2023,1/17/2023,Evan,11/28/2025 8:26
171,TCK-1171,in_progress,hardware,Issue 171 subject,Description of issue 171,9/16/2023,,Alice,11/28/2025 8:26
172,TCK-1172,open,access,Issue 172 subject,Description of issue 172,1/22/2023,,Fiona,11/28/2025 8:26
173,TCK-1173,resolved,access,Issue 173 subject,Description of issue 173,11/16/2024,11/19/2024,Alice,11/28/2025 8:26
174,TCK-1174,closed,network,Issue 174 subject,Description of issue 174,8/4/2024,8/5/2024,Dana,11/28/2025 8:26
175,TCK-1175,closed,hardware,Issue 175 subject,Description of issue 175,5/20/2024,5/22/2024,Alice,11/28/2025 8:26
176,TCK-1176,open,other,Issue 176 subject,Description of issue 176,9/15/2023,,Bob,11/28/2025 8:26
177,TCK-1177,resolved,hardware,Issue 177 subject,Description of issue 177,8/8/2023,8/10/2023,Fiona,11/28/2025 8:26
178,TCK-1178,in_progress,other,Issue 178 subject,Description of issue 178,9/4/2024,,Bob,11/28/2025 8:26
179,TCK-1179,resolved,access,Issue 179 subject,Description of issue 179,5/20/2024,5/27/2024,Bob,11/28/2025 8:26
180,TCK-1180,in_progress,network,Issue 180 subject,Description of issue 180,12/12/2023,,Alice,11/28/2025 8:26
181,TCK-1181,closed,software,Issue 181 subject,Description of issue 181,10/18/2024,10/28/2024,Charlie,11/28/2025 8:26
182,TCK-1182,resolved,network,Issue 182 subject,Description of issue 182,9/19/2023,9/29/2023,Charlie,11/28/2025 8:26
183,TCK-1183,resolved,network,Issue 183 subject,Description of issue 183,12/23/2023,12/25/2023,Charlie,11/28/2025 8:26
184,TCK-1184,closed,hardware,Issue 184 subject,Description of issue 184,6/13/2023,6/18/2023,Evan,11/28/2025 8:26
185,TCK-1185,closed,hardware,Issue 185 subject,Description of issue 185,10/9/2023,10/12/2023,Evan,11/28/2025 8:26
186,TCK-1186,resolved,access,Issue 186 subject,Description of issue 186,3/2/2023,3/2/2023,Bob,11/28/2025 8:26
187,TCK-1187,resolved,access,Issue 187 subject,Description of issue 187,1/26/2024,1/26/2024,Evan,11/28/2025 8:26
188,TCK-1188,closed,network,Issue 188 subject,Description of issue 188,10/12/2024,10/13/2024,Dana,11/28/2025 8:26
189,TCK-1189,open,software,Issue 189 subject,Description of issue 189,3/2/2024,,Alice,11/28/2025 8:26
190,TCK-1190,closed,software,Issue 190 subject,Description of issue 190,11/27/2024,12/5/2024,Evan,11/28/2025 8:26
191,TCK-1191,resolved,network,Issue 191 subject,Description of issue 191,5/29/2024,6/1/2024,Fiona,11/28/2025 8:26
192,TCK-1192,open,other,Issue 192 subject,Description of issue 192,9/28/2024,,Fiona,11/28/2025 8:26
193,TCK-1193,resolved,access,Issue 193 subject,Description of issue 193,9/24/2024,9/27/2024,Evan,11/28/2025 8:26
194,TCK-1194,open,access,Issue 194 subject,Description of issue 194,6/5/2024,,Evan,11/28/2025 8:26
195,TCK-1195,closed,software,Issue 195 subject,Description of issue 195,9/4/2024,9/11/2024,Dana,11/28/2025 8:26
196,TCK-1196,resolved,network,Issue 196 subject,Description of issue 196,6/12/2023,6/12/2023,Evan,11/28/2025 8:26
197,TCK-1197,open,other,Issue 197 subject,Description of issue 197,2/19/2023,,Dana,11/28/2025 8:26
198,TCK-1198,resolved,other,Issue 198 subject,Description of issue 198,12/8/2023,12/16/2023,Charlie,11/28/2025 8:26
199,TCK-1199,resolved,software,Issue 199 subject,Description of issue 199,7/5/2023,7/11/2023,Charlie,11/28/2025 8:26
200,TCK-1200,resolved,network,Issue 200 subject,Description of issue 200,11/12/2023,11/20/2023,Evan,11/28/2025 8:26
201,TCK-1201,closed,software,Issue 201 subject,Description of issue 201,1/13/2024,1/23/2024,Alice,11/28/2025 8:26
202,TCK-1202,closed,other,Issue 202 subject,Description of issue 202,10/24/2023,11/3/2023,Dana,11/28/2025 8:26
203,TCK-1203,closed,network,Issue 203 subject,Description of issue 203,1/16/2023,1/21/2023,Fiona,11/28/2025 8:26
204,TCK-1204,in_progress,software,Issue 204 subject,Description of issue 204,8/1/2023,,Fiona,11/28/2025 8:26
205,TCK-1205,closed,network,Issue 205 subject,Description of issue 205,9/16/2023,9/20/2023,Bob,11/28/2025 8:26
206,TCK-1206,resolved,other,Issue 206 subject,Description of issue 206,1/31/2023,2/5/2023,Alice,11/28/2025 8:26
207,TCK-1207,in_progress,access,Issue 207 subject,Description of issue 207,6/18/2023,,Dana,11/28/2025 8:26
208,TCK-1208,open,hardware,Issue 208 subject,Description of issue 208,7/30/2023,,Alice,11/28/2025 8:26
209,TCK-1209,in_progress,hardware,Issue 209 subject,Description of issue 209,8/17/2023,,Bob,11/28/2025 8:26
210,TCK-1210,closed,hardware,Issue 210 subject,Description of issue 210,4/12/2023,4/19/2023,Bob,11/28/2025 8:26
211,TCK-1211,in_progress,network,Issue 211 subject,Description of issue 211,11/10/2023,,Charlie,11/28/2025 8:26
212,TCK-1212,open,hardware,Issue 212 subject,Description of issue 212,5/11/2024,,Charlie,11/28/2025 8:26
213,TCK-1213,open,other,Issue 213 subject,Description of issue 213,12/14/2023,,Alice,11/28/2025 8:26
214,TCK-1214,closed,software,Issue 214 subject,Description of issue 214,10/11/2023,10/15/2023,Dana,11/28/2025 8:26
215,TCK-1215,closed,other,Issue 215 subject,Description of issue 215,5/20/2023,5/30/2023,Bob,11/28/2025 8:26
216,TCK-1216,closed,hardware,Issue 216 subject,Description of issue 216,8/13/2024,8/15/2024,Bob,11/28/2025 8:26
217,TCK-1217,open,access,Issue 217 subject,Description of issue 217,1/22/2023,,Alice,11/28/2025 8:26
218,TCK-1218,open,access,Issue 218 subject,Description of issue 218,12/23/2023,,Charlie,11/28/2025 8:26
219,TCK-1219,closed,hardware,Issue 219 subject,Description of issue 219,3/5/2024,3/9/2024,Charlie,11/28/2025 8:26
220,TCK-1220,open,access,Issue 220 subject,Description of issue 220,8/8/2024,,Fiona,11/28/2025 8:26
221,TCK-1221,resolved,access,Issue 221 subject,Description of issue 221,12/18/2023,12/27/2023,Alice,11/28/2025 8:26
222,TCK-1222,in_progress,other,Issue 222 subject,Description of issue 222,10/4/2023,,Bob,11/28/2025 8:26
223,TCK-1223,resolved,access,Issue 223 subject,Description of issue 223,10/25/2023,11/4/2023,Dana,11/28/2025 8:26
224,TCK-1224,resolved,other,Issue 224 subject,Description of issue 224,12/2/2023,12/6/2023,Dana,11/28/2025 8:26
225,TCK-1225,closed,access,Issue 225 subject,Description of issue 225,1/20/2023,1/27/2023,Charlie,11/28/2025 8:26
226,TCK-1226,closed,hardware,Issue 226 subject,Description of issue 226,2/18/2023,2/28/2023,Alice,11/28/2025 8:26
227,TCK-1227,resolved,software,Issue 227 subject,Description of issue 227,11/2/2023,11/6/2023,Fiona,11/28/2025 8:26
228,TCK-1228,in_progress,access,Issue 228 subject,Description of issue 228,3/17/2023,,Evan,11/28/2025 8:26
229,TCK-1229,closed,software,Issue 229 subject,Description of issue 229,7/30/2024,8/1/2024,Dana,11/28/2025 8:26
230,TCK-1230,open,access,Issue 230 subject,Description of issue 230,7/9/2023,,Fiona,11/28/2025 8:26
231,TCK-1231,closed,software,Issue 231 subject,Description of issue 231,5/10/2024,5/17/2024,Alice,11/28/2025 8:26
232,TCK-1232,in_progress,other,Issue 232 subject,Description of issue 232,5/24/2024,,Bob,11/28/2025 8:26
233,TCK-1233,resolved,network,Issue 233 subject,Description of issue 233,11/27/2023,11/30/2023,Bob,11/28/2025 8:26
234,TCK-1234,open,hardware,Issue 234 subject,Description of issue 234,9/28/2023,,Bob,11/28/2025 8:26
